,word string,0
12,Killi Kruparani,True
19,Electrical Equipment Manufacturing Co Ltd,True
92,Cos Inc,True
98,Barclays Capital Inc,True
155,Brent North Sea,True
186,Foxconn Technology Group,True
249,Energy Drilling Australia,True
273,Larry Pope,True
364,New York State Court,True
437,Chemical Corp,True
472,Enbridge Inc,True
554,Student PIRGs,True
589,Options Group,True
591,Ambac Assurance Corp,True
606,Walk Score,True
662,Global Human Resources Group,True
926,Q2 Guide,True
993,Dishman Company,True
1009,Countrywide Financial Corp,True
1009,Continental Resources Inc,True
1016,Climate Corporation,True
1113,Gold Inc,True
1132,Joy Global,True
1161,SVM Asset Management,True
1210,Rob Citrone,True
1248,Russia Inc,True
1274,Mazda Motor Corp,True
1351,Reckitt Benckiser Group,True
1416,Xugong Group Construction Machinery Co,True
1422,London-based Virgin Group,True
1498,IAMGOLD Corp,True
1592,Alan N,True
1641,Transocean Ltd,True
1651,Complex Systems,True
1896,SoftBank Corp,True
1980,Sun Loan,True
1998,Standard Life Investments,True
2000,ENERGA Group,True
2006,Julius BaerGroup Ltd,True
2027,Gunvor Group Ltd,True
2047,Li Ning,True
2122,Jed Horowitz,True
2156,Manulife Asset Management,True
2170,Steel Corp,True
2214,Related Group,True
2234,Shanghai Stock Exchange,True
2236,Bipartisan Policy CenterA,True
2305,United Parcel Service Inc,True
2331,Trine Villemann,True
2444,Kjeld Kirk Kristiansen,True
2477,Green Valley Brewery,True
2532,CGI Group,True
2552,EverBank Wealth Management,True
2569,Tiger Global,True
2622,United East-India Company,True
2659,CEO Ross McEwan,True
2680,Port Vanino,True
2707,Al-Jedaie Group,True
2744,Kraft American Singles,True
2764,Qualcomm Inc,True
2824,World Retail Congress,True
2962,Career Page,True
2981,Beijing Xinwei,True
3001,United Aircraft Corp,True
3027,Baidu Inc,True
3104,Navient Corp,True
3275,Spicy McWings,True
3423,China Mobile Ltd,True
3424,Allstate Financial,True
3497,Investing Group,True
3516,Rival MasterCard Inc,True
3540,Boston Scientific Corp,True
3553,Maker Studios,True
3608,ShopRunner Inc,True
3616,Alfa Group,True
3620,NPD Group,True
3725,DMC CEO Keith McMullin,True
3803,Citizens Financial Group,True
3845,Huffines Auto Group,True
3888,Beverage Testing Institute,True
3951,ChinaMobile Ltd,True
3954,Ian Maude These,True
3968,Lazard Ltd,True
4005,Koch Industries,True
4025,Robert A,True
