,0
0,1.2%
1,47%
2,39.6%
3,47%
4,47%
5,4.2%
6,6.2%
7,47%
8,35%
9,39.6%
10,4.2%
11,6.2%
12,15%
13,20%
14,3.8%
15,23.8%
16,39.6%
17,15%
18,18.8%
19,-90%
20,40%
21,10%
22,1.7%
23,1.5%
24,1.4%
25,0.9%
26, 1.9 percent
27, 99 percent
28, 0.5 percent
29,9.3%
30,26%
31,1.5%
32,0.4%
33, 0.1 percent
34, 0.2 percent
35, 0.4 percent
36, 0.2 percent
37, 0.6 percent
38, 14 percent
39, 13 percent
40,50%
41, 20 percent
42, 50 percent
43,16.0%
44,11.8%
45,3.1%
46,2.9%
47, 0.2 percent
48, 0.01 percent
49,35%
50,39.6%
51,15%
52,20%
53,40%
54,55%
55,15%
56,35%
57,39.5%
58,15%
59,15%
60,20%
61,10%
62, 0.7 percent
63, 35 percent
64, 39.6 percent
65, 13 percent
66, 50 percent
67, 20 percent
68, 12.3 percent
69,1.3%
70,1.5%
71,6.1%
72,6.8%
73, 6.2 percent
74, 4.2 percent
75, 21.7 percent
76,1.4%
77, 5.2 percent
78, 1.8 percent
79, 21.7 percent
80,20%
81,39.6%
82,15%
83,39.6%
84,35%
85,40%
86,35%
87,40%
88,26%
89,23.8%
90,1.25%
91,70%
92,10%
93, 39.4 percent
94, 39.6 percent
95, 20 percent
96, 13.9 percent
97, 17.5 percent
98, 22 percent
99, 6.7 percent
100, 28.2 percent
101, 2.19 percent
102,90%
103, 0.3 percent
104, 0.6 percent
105,1.6%
106, 0.3 percent
107,2.0%
108, 7.7 percent
109,1.3%
110, 9.2 percent
111,1.3%
112, 0.2 percent
113,1.3%
114, 0.4 percent
115,1.3%
116, 0.7 percent
117,2.3%
118, 0.4 percent
119,3.5%
120,5.3%
121, 0.5 percent
122, 50.7 percent
123, 1.2 percent
124, 49.5 percent
125, 1.2 percentage
126, 1.2 percentage points
127, 50.3 percent
128, 52.6 percent
129, 1.1 percent
130, 1.1 percentage
131, 1.1 percentage points
132, 52.7 percent
133, 4.3 percent
134, 4.3 percentage
135, 4.3 percentage points
136, 51.5 percent
137,17%
138,19%
139, 51 percent
140, 2.5 percent
141, 11 percent
142, 5.3 percent
143,5.5%
144,15.96%
145,3.1%
146, 7.8 percent
147, 1.7 percent
148,40%
149,2.07%
150,6.67%
151,1.73%
152,8.88%
153,40%
154,69%
155,30%
156,1.73%
157,2.07%
158,48%
159,10%
160,3.60%
161,6.24%
162,13.84%
163,1.8178%
164, 13.5 percent
165, 20 percent
166, 42 percent
167, 90 percent
168, 49 percent
169,49%
170,32%
171,24%
172,35%
173,38%
174,4.348%
175,2.701%
176,100%
177,3.1%
178,2.24%
179, 98 percent
180, 97 percent
181, 25 percent
182, 31 percent
183, 22 percent
184, 2.8 percent
185,33.4%
186, 28.3 percent
187,210%
188,0.19%
189, 6.5 percent
190, 6.5 percent
191, 7.7 percent
192, 6.5 percent
193, -0.1 percent
194, -0.2 percent
195, -0.3 percent
196,40%
197,6.5%
198,2.5%
199, 6.5 percent
200, 2.5 percent
201, 7.7 percent
202,40%
203, 26.4 percent
204, 26.9 percent
205, 16 percent
206, 15 percent
207,80%
208,39.6%
209,3.8%
210,23.8%
211, 10 percent
212, 7.6 percent
213, 1.6 percent
214, 1.2 percent
215, 4.9 percent
216, 2.1 percent
217,100%
218, 60 percent
219, 0.7 percent
220, 90 percent
221,50%
222,84.69%
223, 2.5 percent
224, 2.6 percent
225, 0.1 percent
226, 0.1 percentage
227, 3.0 percent
228,50%
229, 22 percent
230, 43 percent
231, 43 percent
232, 22 percent
233, 33 percent
234, 14 percent
235, 215 percent
236, 60 percent
237, 189 percent
238, 90 percent
239,4.3%
240,1.8%
241,2.83%
242,10.1%
243,8.7%
244,7.0%
245,5.5%
246,6.0%
247,5.5%
248,0.9%
249,0.3%
250,0.18%
251, 13 percent
252, 44 percent
253,1.5%
254,11%
255,6.5%
256,11%
257,20%
258,30%
259,30%
260,0.1%
261,7.8%
262,7.7%
263,0.3%
264,2.1%
265,63.6%
266,14.4%
267,1.4%
268,19%
269,13%
270,1.8%
271,2.1%
272,2.1%
273,2.3%
274, 7.8 percent
275, 100 percent
276, 6.5 percent
277, 7.1 percent
278, 6.5 percent
279,20%
280,10%
281,1.3%
282, 16 percent
283, 23 percent
284, 78 percent
